task,source,subject,pre_acc,pre_auc,rand_acc,rand_auc
rest_vs_activity,predictor_mean,3,0.6111111111111112,0.6375308641975308,0.5333333333333333,0.6162962962962962
rest_vs_activity,predictor_mean,4,0.8555555555555555,0.9659259259259259,0.8888888888888888,0.9229629629629629
rest_vs_activity,predictor_mean,5,0.6777777777777778,0.8246913580246913,0.5333333333333333,0.5703703703703704
rest_vs_activity,predictor_mean,6,0.7,0.7358024691358024,0.5555555555555556,0.6207407407407407
rest_vs_activity,predictor_mean,7,0.7,0.7550617283950617,0.5777777777777777,0.6706172839506173
rest_vs_activity,predictor_mean,8,0.7333333333333333,0.8108641975308641,0.6777777777777778,0.8004938271604938
rest_vs_activity,predictor_mean,9,0.5444444444444444,0.5590123456790124,0.45555555555555555,0.43901234567901226
rest_vs_activity,predictor_mean,10,0.6666666666666666,0.8177777777777778,0.6888888888888889,0.7446913580246913
rest_vs_activity,predictor_mean,11,0.7222222222222222,0.8004938271604938,0.6111111111111112,0.6365432098765432
rest_vs_activity,predictor_mean,12,0.5666666666666667,0.5323456790123458,0.4888888888888889,0.4237037037037037
rest_vs_activity,predictor_mean,13,0.6777777777777778,0.7713580246913581,0.6888888888888889,0.7723456790123457
rest_vs_activity,predictor_mean,14,0.5444444444444444,0.5881481481481481,0.4777777777777778,0.5269135802469135
rest_vs_activity,predictor_mean,15,0.7777777777777778,0.8898765432098765,0.7222222222222222,0.7688888888888888
rest_vs_activity,predictor_mean,16,0.6444444444444445,0.7224691358024691,0.5888888888888889,0.6439506172839506
rest_vs_activity,predictor_mean,17,0.6444444444444445,0.7595061728395062,0.6111111111111112,0.6617283950617283
rest_vs_activity,predictor_mean,18,0.7,0.9382716049382716,0.6888888888888889,0.9407407407407408
rest_vs_activity,predictor_mean,19,0.6333333333333333,0.722962962962963,0.6888888888888889,0.7609876543209877
rest_vs_activity,predictor_mean,20,0.8444444444444444,0.9422222222222222,0.7777777777777778,0.8607407407407408
rest_vs_activity,both_mean,1,0.5777777777777777,0.6148148148148148,0.5555555555555556,0.5896296296296295
rest_vs_activity,both_mean,2,0.6888888888888889,0.7155555555555555,0.6222222222222222,0.6340740740740741
rest_vs_activity,both_mean,3,0.6,0.6237037037037038,0.5666666666666667,0.5437037037037037
rest_vs_activity,both_mean,4,0.9,0.9748148148148148,0.8777777777777778,0.9214814814814815
rest_vs_activity,both_mean,5,0.6777777777777778,0.8281481481481482,0.5333333333333333,0.5555555555555556
rest_vs_activity,both_mean,6,0.7,0.7382716049382716,0.5888888888888889,0.6498765432098765
rest_vs_activity,both_mean,7,0.7222222222222222,0.7738271604938272,0.6222222222222222,0.7041975308641975
rest_vs_activity,both_mean,8,0.6888888888888889,0.7901234567901234,0.7666666666666667,0.8108641975308643
rest_vs_activity,both_mean,9,0.5444444444444444,0.5590123456790123,0.45555555555555555,0.451358024691358
rest_vs_activity,both_mean,10,0.6777777777777778,0.8296296296296296,0.6777777777777778,0.7708641975308642
rest_vs_activity,both_mean,11,0.7333333333333333,0.8064197530864197,0.6111111111111112,0.6607407407407407
rest_vs_activity,both_mean,12,0.5111111111111111,0.5595061728395062,0.5111111111111111,0.4222222222222222
rest_vs_activity,both_mean,13,0.6555555555555556,0.7649382716049382,0.7333333333333333,0.8148148148148149
rest_vs_activity,both_mean,14,0.5444444444444444,0.5876543209876544,0.5,0.5516049382716048
rest_vs_activity,both_mean,15,0.8,0.8671604938271605,0.7111111111111111,0.8158024691358025
rest_vs_activity,both_mean,16,0.6444444444444445,0.7293827160493827,0.5888888888888889,0.64
rest_vs_activity,both_mean,17,0.7111111111111111,0.7644444444444444,0.5888888888888889,0.6612345679012346
rest_vs_activity,both_mean,18,0.7,0.9254320987654322,0.7222222222222222,0.9501234567901234
rest_vs_activity,both_mean,19,0.6444444444444445,0.7219753086419752,0.7,0.7886419753086419
rest_vs_activity,both_mean,20,0.8666666666666667,0.959506172839506,0.8222222222222222,0.9071604938271605
