checkpoint,task,source,pre_acc,pre_acc_std,pre_auc,rand_acc,rand_auc,delta_pp,delta_auc
clean-large-89-30k-s44,left_right,encoder_mean,0.6411111111111111,0.07479189234465075,0.6834482244808331,0.5111111111111111,0.5220626293995859,13.0,0.16138559508124717
clean-large-89-30k-s44,left_right,predictor_mean,0.6088888888888887,0.08675209464863613,0.6515425999121651,0.6,0.6320609040717737,0.8888888888888724,0.01948169584039139
clean-large-89-30k-s44,left_right,both_mean,0.6344444444444444,0.07452731705659556,0.6886049940397766,0.6033333333333332,0.6341265920070268,3.11111111111112,0.054478402032749784
clean-large-89-30k-s44,rest_vs_activity,encoder_mean,0.6794444444444444,0.08779008352560155,0.7482716049382715,0.5677777777777777,0.6067654320987653,11.16666666666667,0.14150617283950617
clean-large-89-30k-s44,rest_vs_activity,predictor_mean,0.6833333333333333,0.09292901844491741,0.7551358024691357,0.6188888888888888,0.678641975308642,6.444444444444453,0.07649382716049369
clean-large-89-30k-s44,rest_vs_activity,both_mean,0.6794444444444444,0.09833647201519415,0.7488888888888888,0.6394444444444444,0.6921728395061729,4.0000000000000036,0.056716049382715905
clean-large-89-30k-m256,left_right,encoder_mean,0.5666666666666667,0.07079792143143997,0.600103519668737,0.5111111111111111,0.5220626293995859,5.555555555555558,0.07804089026915106
clean-large-89-30k-m256,left_right,predictor_mean,0.5211111111111111,0.08387969044492118,0.5211395790200137,0.6,0.6320609040717737,-7.888888888888889,-0.11092132505176
clean-large-89-30k-m256,left_right,both_mean,0.5744444444444444,0.07278413882294364,0.6095618451596713,0.6033333333333332,0.6341265920070268,-2.888888888888874,-0.024564746847355545
clean-large-89-30k-m256,rest_vs_activity,encoder_mean,0.6872222222222222,0.0929804838144563,0.7528148148148147,0.5677777777777777,0.6067654320987653,11.944444444444446,0.1460493827160494
clean-large-89-30k-m256,rest_vs_activity,predictor_mean,0.691111111111111,0.10016036524210613,0.7560246913580247,0.6188888888888888,0.678641975308642,7.222222222222219,0.07738271604938274
clean-large-89-30k-m256,rest_vs_activity,both_mean,0.6827777777777777,0.09145429945545966,0.7535308641975309,0.6394444444444444,0.6921728395061729,4.333333333333334,0.06135802469135798
